Name,About,Portfolio,Founders,Past Investors,Employees,Advisors,Profile Claimed,Portfolio Links,Founder Links,Investor Links,Employee Links,Advisor Links
"Playfair Capital","","Duedil,Good.Co,Birdback,Storybricks,StreetHub,Moni ,OP3Nvoice,Believe.in,Mixlr,Festicket,Rummble Labs,Stratajet,WeStore,adizio,f6s,onDevice (Keynote)","Federico Pirzio-Biroli","","Nathan Benaich,Joe Charlesworth,georgia,Victoria B Domalik","Federico Pirzio-Biroli",Yes,"https://angel.co/duedil,https://angel.co/good-co,https://angel.co/birdback,https://angel.co/storybricks,https://angel.co/streethub,https://angel.co/moni-3,https://angel.co/op3nvoice,https://angel.co/believe-in,https://angel.co/mixlr,https://angel.co/festicket,https://angel.co/rummble-labs,https://angel.co/stratajet,https://angel.co/westore,https://angel.co/adizio,https://angel.co/f6s,https://angel.co/ondevice-keynote","https://angel.co/federico-pirzio-biroli","","https://angel.co/nathan-benaich,https://angel.co/joseph-2,https://angel.co/georgia-3,https://angel.co/victoria-domalik","https://angel.co/federico-pirzio-biroli"
"Point Nine Capital","","Gengo,StyleSeat,Delivery Hero,Couchsurfing ,Vend,Unbounce,Clio,Kreditech,SponsorPay,Contactually,Mister Spex,Wirkaufens,Jobber,Madvertise,Cibando,Positionly,mention,Contentful,inFakt.pl,Niania.pl,Digitale-seiten.de,Hipclub.ru,DocPlanner,Lieferheld,ShiftPlanning,","Christoph Janz,Pawel Chudzinski","Steffen Hoellinger,Arend Lars Iven,Ron Hillmann,Janis Zech,Felix Haas,Piotr Kulesza,RTAventures,Juan Teijeiro","Christoph Janz,Pawel Chudzinski,Lukasz Gadowski,Mathias Ockenfels,Nicolas Wittenborn,Rodrigo Martinez","Christoph Janz,Pawel Chudzinski",Yes,"https://angel.co/gengo-1,https://angel.co/styleseat,https://angel.co/delivery-hero,https://angel.co/couchsurfing-3,https://angel.co/vend,https://angel.co/unbounce,https://angel.co/clio,https://angel.co/kreditech,https://angel.co/sponsorpay,https://angel.co/contactually,https://angel.co/mister-spex,https://angel.co/wirkaufens,https://angel.co/jobber,https://angel.co/madvertise,https://angel.co/cibando,https://angel.co/positionly,https://angel.co/mention,https://angel.co/contentful,https://angel.co/infakt-pl,https://angel.co/niania-pl,https://angel.co/digitale-seiten-de,https://angel.co/hipclub-ru,https://angel.co/docplanner,https://angel.co/lieferheld,https://angel.co/shiftplanning,","https://angel.co/chrija,https://angel.co/pawel","https://angel.co/steffen,https://angel.co/arend-lars-iven,https://angel.co/ron-aron-hillmann,https://angel.co/janiszech,https://angel.co/felixhaas,https://angel.co/piotr-kulesza,https://angel.co/rtaventures,https://angel.co/juan-teijeiro","https://angel.co/chrija,https://angel.co/pawel,https://angel.co/gadowski,https://angel.co/mathias-ockenfels,https://angel.co/ncsh,https://angel.co/rdrgmartinez","https://angel.co/chrija,https://angel.co/pawel"
"Polaris Partners","","KISSmetrics,Space Monkey,Turntable.fm,Automattic,Formspring,Sosh,Message Bus,Recurly,Quantcast,Spindle,Localytics,Seamless Receipts,JibJab,Shoedazzle,docTrackr,JIBE,PostRocket,BarkBox,Bluetrain Mobile,Egnyte,Stickybits,Lolapps,Catchfree,Veracode,Thing Labs,","","Gail DeGiulio","Peter Flint,Simeon Simeonov,David Barrett,Bob Metcalfe,Jon Steinberg,Pat Kinsel,Dylan Pearce,John Gannon,Brandon Molina,Shervin Ghaemmaghami","",Yes,"https://angel.co/kissmetrics,https://angel.co/space-monkey,https://angel.co/turntable-fm,https://angel.co/automattic,https://angel.co/formspring,https://angel.co/sosh,https://angel.co/message-bus,https://angel.co/recurly,https://angel.co/quantcast,https://angel.co/spindle,https://angel.co/localytics,https://angel.co/seamless-receipts,https://angel.co/jibjab,https://angel.co/shoedazzle,https://angel.co/doctrackr,https://angel.co/jibe,https://angel.co/postrocket,https://angel.co/barkbox,https://angel.co/bluetrain-mobile,https://angel.co/egnyte,https://angel.co/stickybits,https://angel.co/lolapps,https://angel.co/catchfree,https://angel.co/veracode,https://angel.co/thing-labs,","","https://angel.co/gail-degiulio","https://angel.co/peter-flint,https://angel.co/simeons,https://angel.co/davebarrett4,https://angel.co/bobmetcalfe,https://angel.co/jonsteinberg,https://angel.co/patk,https://angel.co/dylan-pearce,https://angel.co/jgannon,https://angel.co/brandon-molina,https://angel.co/shervin-ghaemmaghami",""
"PROfounders Capital","","Tweetdeck,Leap Motion,Applifier,echoecho,Entangled Media,CruiseWise,Luluvise,Onefinestay,citysocializer,busuu ,Lofty,Keynoir,9flats,Made.com,Roomorama,Mangahigh.com,Moves,RollUp Media","Michael Birch,Sean Seton-Rogers,Brent Hoberman","","Sean Seton-Rogers","Michael Birch,Sean Seton-Rogers,Brent Hoberman",Yes,"https://angel.co/tweetdeck,https://angel.co/leap-motion,https://angel.co/applifier,https://angel.co/echoecho,https://angel.co/entangled-media,https://angel.co/cruisewise,https://angel.co/luluvise,https://angel.co/onefinestay,https://angel.co/citysocializer,https://angel.co/busuu-1,https://angel.co/lofty,https://angel.co/keynoir,https://angel.co/9flats,https://angel.co/made-com,https://angel.co/roomorama,https://angel.co/mangahigh-com,https://angel.co/moves,https://angel.co/rollup-media","https://angel.co/mickbirch,https://angel.co/setonrog,https://angel.co/brenthoberman","","https://angel.co/setonrog","https://angel.co/mickbirch,https://angel.co/setonrog,https://angel.co/brenthoberman"
"Promus Ventures","","Virool,NewHound,Tulip Retail,BackOps ,AngelList,Getable,Chromatik,Standard Treasury,Sqwiggle,YourMechanic,Prism Skylabs,Solve Media,Binpress,500 Startups,Kahuna,Layer; Inc.,Prizeo,Seamless Toy Company,First Opinion - Text a Doctor,Storify,Embarke,OwnerListens,VIRES Aeronautics,Audiodraft,Kensho Finance","Mike Collett","","Mike Collett","Mike Collett",Yes,"https://angel.co/virool,https://angel.co/newhound,https://angel.co/tulip-retail,https://angel.co/backops,https://angel.co/angellist,https://angel.co/getable,https://angel.co/chromatik,https://angel.co/standard-treasury,https://angel.co/sqwiggle,https://angel.co/yourmechanic,https://angel.co/prism-skylabs,https://angel.co/solve-media,https://angel.co/binpress,https://angel.co/500startups,https://angel.co/kahuna,https://angel.co/layer-inc,https://angel.co/prizeo,https://angel.co/seamless-toy-company,https://angel.co/first-opinion-text-a-doctor,https://angel.co/storify,https://angel.co/embarke,https://angel.co/ownerlistens,https://angel.co/vires-aeronautics,https://angel.co/audiodraft,https://angel.co/kensho-finance","https://angel.co/mlcollett","","https://angel.co/mlcollett","https://angel.co/mlcollett"
"QED Investors","","Prosper,33Across,Credit Karma,card.com,Mediamath,Convoke Systems,Wealthengine,Valen Technologies","","","Caribou Honig","",No,"https://angel.co/prosper,https://angel.co/33across,https://angel.co/credit-karma,https://angel.co/card-com,https://angel.co/mediamath,https://angel.co/convoke-systems,https://angel.co/wealthengine,https://angel.co/valen-technologies","","","https://angel.co/caribou1",""
"Qualcomm Ventures","","Matterport ,Viddy,ThinkNear,Steelhouse,Tempo AI,Wrapp,Bitbar,Buzzd,PayPal,Location Labs,Livescribe,Avalanche Technology,Embee Mobile,Pultage,Obopay,Visage Mobile,PowerCloud Systems,Videoplaza,ChaCha,Blippar,Kirusa,We7,InvenSense,uCirrus,Tela Innovations,","","","Patrick Eggen,Jason Ball,Kartheepan Madasamy","",Yes,"https://angel.co/matterport-2,https://angel.co/viddy,https://angel.co/thinknear,https://angel.co/steelhouse,https://angel.co/tempo-ai,https://angel.co/wrapp,https://angel.co/bitbar,https://angel.co/buzzd,https://angel.co/paypal,https://angel.co/location-labs,https://angel.co/livescribe,https://angel.co/avalanche-technology,https://angel.co/embee-mobile,https://angel.co/pultage,https://angel.co/obopay,https://angel.co/visage-mobile,https://angel.co/powercloud-systems,https://angel.co/videoplaza,https://angel.co/chacha,https://angel.co/blippar,https://angel.co/kirusa,https://angel.co/we7,https://angel.co/invensense,https://angel.co/ucirrus,https://angel.co/tela-innovations,","","","https://angel.co/peggen,https://angel.co/jasonball,https://angel.co/kartheepan-madasamy",""
"Quest Venture Partners","We invest in early stage companies with great ideas, and even greater people behind them. We typically are the first institutional money in, investing between $100k-$1.5mm, with our sweet spot being around $500k. We are a micro vc firm that leads and syndicate deals, as well as will consider taking board seats and observer roles.  As of September 2013, we&#x27;ve invested in approximately 50 startups, 45 in fund 1, 7 from fund 2.","500friends,AngelList,famo.us,DogVacay,Crowdbooster,Amplitude,CrowdFlower,AdStage,Tapulous,isocket,Ifeelgoods,PicCollage,Monogram,GENWI; Inc.,Vastrm,Retailigence,Qik,App.io,Vivu,The Bouqs Company,PredictionIO,Virgance","","","Marcus Ogawa,Andrew Ogawa,Maarten  &#x27;t Hooft","",Yes,"https://angel.co/500friends,https://angel.co/angellist,https://angel.co/famo-us,https://angel.co/dogvacay,https://angel.co/crowdbooster,https://angel.co/amplitude-1,https://angel.co/crowdflower,https://angel.co/adstage,https://angel.co/tapulous,https://angel.co/isocket,https://angel.co/ifeelgoods,https://angel.co/piccollage,https://angel.co/monogram,https://angel.co/genwi-inc,https://angel.co/vastrm,https://angel.co/retailigence,https://angel.co/qik,https://angel.co/app-io,https://angel.co/vivu,https://angel.co/the-bouqs-company-1,https://angel.co/predictionio,https://angel.co/virgance","","","https://angel.co/marcusogawa,https://angel.co/andrewogawa,https://angel.co/maarten-hooft",""
"Quotidian Ventures","","Egomotion,Hitpost,Locu,Comprehend,LaunchRock,Veri,Bench,Keychain Logistics,Grand St.,Clothia,Amicus,SmartAsset,Moveline,LawPivot,Circa,Nestio,IMRSV,Artsicle,WePow,Videolicious,BrightNest,Wallaby Financial,Zerply,Tapad,Brass Monkey,","Pedro Torres Pic\u00f3n","","Rick Webb,Scott Wolfgang,Jamie Roth,Evan Korth","Pedro Torres Pic\u00f3n",Yes,"https://angel.co/egomotion,https://angel.co/hitpost,https://angel.co/locu,https://angel.co/comprehend,https://angel.co/launchrock,https://angel.co/veri,https://angel.co/bench,https://angel.co/keychain-logistics,https://angel.co/grand-st,https://angel.co/clothia,https://angel.co/amicus,https://angel.co/smartasset,https://angel.co/moveline,https://angel.co/lawpivot,https://angel.co/circa,https://angel.co/nestio,https://angel.co/imrsv,https://angel.co/artsicle,https://angel.co/wepow,https://angel.co/videolicious,https://angel.co/brightnest,https://angel.co/wallaby-financial,https://angel.co/zerply,https://angel.co/tapad,https://angel.co/brass-monkey,","https://angel.co/pedrotp","","https://angel.co/rickwebb,https://angel.co/swolfgang,https://angel.co/jamielynnroth,https://angel.co/evan-korth","https://angel.co/pedrotp"
"Raptor Ventures","Raptor Ventures is the venture capital arm of Raptor Capital Management LP. We partner with and deploy capital to early-stage, market disrupting technology and media companies to build the next generation of market leaders.","Bread,Fliptop,MediaSpike,OpenSky,Sociocast ,Sonic Notify,Krush,LayerVault,Graph Science,Security Point Media","Jim Pallotta","","Harry DeMott,Greg Rosen","Jim Pallotta",Yes,"https://angel.co/bread-1,https://angel.co/fliptop,https://angel.co/mediaspike,https://angel.co/opensky,https://angel.co/sociocast,https://angel.co/sonic-notify,https://angel.co/krush,https://angel.co/layervault,https://angel.co/graph-science,https://angel.co/security-point-media","https://angel.co/jjp","","https://angel.co/hdemott,https://angel.co/grosen","https://angel.co/jjp"
"Real Ventures","","Clarity,ThinkNear,Cinemagram,Merchant Atlas,Unbounce,Breather,Original,PasswordBox,PerkHub,Engagio,Busbud,ooomf,Vanilla Forums,Trusted Insight,Localmind,OM signal,Uniiverse,LoginRadius,Beyond the Rack,OpenCare,Massive Damage,Execution Labs,Second Funnel,Frank &amp; Oak,Buyosphere,","","Jason Bailey,Yona Shtern,Dominique Belanger,Mark McDowell,Martin-Luc Archambault,Acta Wireless,Bruno Goulet","Alan MacIntosh,Mark Mac Leod,John Stokes,JS Cournoyer,Ian Jeffrey,Charles Seely,Gabriel Sundaram","",Yes,"https://angel.co/clarity,https://angel.co/thinknear,https://angel.co/cinemagram,https://angel.co/merchant-atlas,https://angel.co/unbounce,https://angel.co/breather,https://angel.co/original,https://angel.co/passwordbox,https://angel.co/perkhub,https://angel.co/engagio,https://angel.co/busbud,https://angel.co/ooomf,https://angel.co/vanilla-forums,https://angel.co/trusted-insight,https://angel.co/localmind,https://angel.co/om-signal,https://angel.co/uniiverse,https://angel.co/loginradius,https://angel.co/beyond-the-rack,https://angel.co/opencare,https://angel.co/massive-damage,https://angel.co/execution-labs,https://angel.co/second-funnel,https://angel.co/frank-oak,https://angel.co/buyosphere,","","https://angel.co/superrewardsceo,https://angel.co/yona-shtern,https://angel.co/dominique-belanger,https://angel.co/mark-mcdowell,https://angel.co/mlarchambault,https://angel.co/acta-wireless,https://angel.co/bruno-goulet","https://angel.co/thealanmac,https://angel.co/startupcfo,https://angel.co/iamjohnstokes,https://angel.co/jscournoyer,https://angel.co/ian-jeffrey,https://angel.co/charles-seely,https://angel.co/gabriel-sundaram",""
"Red Sea Ventures","A NY-based, diversified, early stage venture fund focused on Media, Technology, and Retail.","Lerer Ventures,Fancy,Casetext,Nest,Joor,Sweetgreen,Always Prepped,Trigger Media,Host Committee,Violet Grey,Vantageous Video,InsideHook","Scott Birnbaum","","Tim Devane","Scott Birnbaum",Yes,"https://angel.co/lerer-ventures,https://angel.co/fancy,https://angel.co/casetext,https://angel.co/nest,https://angel.co/joor,https://angel.co/sweetgreen,https://angel.co/always-prepped,https://angel.co/trigger-media,https://angel.co/host-committee,https://angel.co/violet-grey,https://angel.co/vantageous-video,https://angel.co/insidehook","https://angel.co/scottdbirnbaum","","https://angel.co/tim-devane","https://angel.co/scottdbirnbaum"
"Red Swan","Red Swan invests in entrepreneurs who delight customers, create culture, and disrupt industries.

If Black Swans are unforeseen calamitous events, Red Swans are great companies most of us never saw coming. They are built by entrepreneurs who create joy for their customers, provide meaning to their employees, and who scare their shareholders by passing on acquisition offers. They tend to be movements as much as businesses. We are honored to be a part of them.","Warby Parker,Birchbox,Hailo,Coinbase,Days by Wander,Wanelo,Chloe + Isabel,Matterport ,Floored,Nomi,Cover,Keychain Logistics,Sunglass,Open Air Publishing,Thanx,Hightower,AltSchool,Scopely,42Floors,EverTrue,One Jackson,SeatGeek,Bond Street,Cambrian Genomics,OrderAhead,","Andy Dunn","rickw@stage1capital.com,Andrew Jenks,Ed Zimmerman,Arun Prakash,Ajay Prakash","Dave Eisenberg,David Vivero,William Peng","Andy Dunn",Yes,"https://angel.co/warby-parker,https://angel.co/birchbox,https://angel.co/hailo,https://angel.co/coinbase,https://angel.co/days-by-wander,https://angel.co/wanelo,https://angel.co/chloe-isabel,https://angel.co/matterport-2,https://angel.co/floored,https://angel.co/nomi,https://angel.co/cover,https://angel.co/keychain-logistics,https://angel.co/sunglass,https://angel.co/open-air-publishing,https://angel.co/thanx,https://angel.co/hightower,https://angel.co/altschool,https://angel.co/scopely,https://angel.co/42floors,https://angel.co/evertrue,https://angel.co/one-jackson,https://angel.co/seatgeek,https://angel.co/bond-street,https://angel.co/cambrian-genomics,https://angel.co/orderahead,","https://angel.co/andydunn","https://angel.co/wittrick,https://angel.co/ajenks,https://angel.co/edgrapenutzimm,https://angel.co/arun-prakash-1,https://angel.co/aprakash","https://angel.co/dave-eisenberg,https://angel.co/davidvivero,https://angel.co/wp","https://angel.co/andydunn"
"Redpoint Ventures","","Summon (formerly InstantCab),Getaround,BranchOut,Stripe,Gogobot,Formspring,SimpleGeo,Mertado,Posterous,Scribd,Zuora,Sosh,Extole,Bluefin Labs,Intent Media,Heroku,Qwilt,thredUP,Pulse,Axial,Bloomfire,BlueKai,HomeAway,Plastic Jungle,Danger,","","","David Wu,Kevin Henrikson,Jonathan Matus,Satish Dharmaraj,Andy Rankin,Ryan Sarver,Tom Tunguz,Jim Lanzone,Geoff Yang,Joel Englander,Anton Bernstein,Dean Gilbert,Jeff Brody,Michael Ross,Nicholas Reise,Matt Hersh,Chris Child,Edward Suh,Vinod Valloppillil,Michael Cohen,Arthur van Hoff,Jamie Davidson,Mike Silverstein,Adil Syed,Pouyan Salehi,Kim Imamura","",Yes,"https://angel.co/summon-formerly-instantcab,https://angel.co/getaround,https://angel.co/branchout,https://angel.co/stripe,https://angel.co/gogobot,https://angel.co/formspring,https://angel.co/simplegeo,https://angel.co/mertado,https://angel.co/posterous,https://angel.co/scribd,https://angel.co/zuora,https://angel.co/sosh,https://angel.co/extole,https://angel.co/bluefin-labs,https://angel.co/intent-media,https://angel.co/heroku,https://angel.co/qwilt,https://angel.co/thredup,https://angel.co/pulse,https://angel.co/axial,https://angel.co/bloomfire,https://angel.co/bluekai,https://angel.co/homeaway,https://angel.co/plastic-jungle,https://angel.co/danger,","","","https://angel.co/davidwu,https://angel.co/kevinhenrikson,https://angel.co/jonathan-matus,https://angel.co/satishd,https://angel.co/arankin,https://angel.co/rsarver,https://angel.co/ttunguz,https://angel.co/jlanzone,https://angel.co/geoff-yang,https://angel.co/joel-englander,https://angel.co/anton-bernstein,https://angel.co/dean-gilbert,https://angel.co/jeff-brody,https://angel.co/michael-ross,https://angel.co/nicholasreise,https://angel.co/hershcules,https://angel.co/christochild,https://angel.co/edsuh,https://angel.co/vinod-valloppillil,https://angel.co/mscohen,https://angel.co/avh,https://angel.co/jamie-davidson,https://angel.co/mike-silverstein,https://angel.co/adil-syed,https://angel.co/psalehi,https://angel.co/kim-imamura",""
"Relay Ventures","","Xobni,Kiip,Rally,PubNub,Tempo AI,Appcelerator,Influitive,WiFiSLAM,TribeHR,WorldMate,ShopLocket,Extreme Startups,Appia,Payfone,Kira Talent,GrowLab,Viewdle,Digby,ClearFit,mDialog,Fuse Powered","Kevin Talbot,John Albright","","Kevin Talbot,John Occhipinti,Alex Baker,John Albright","Kevin Talbot,John Albright",Yes,"https://angel.co/xobni,https://angel.co/kiip,https://angel.co/rally,https://angel.co/pubnub,https://angel.co/tempo-ai,https://angel.co/appcelerator,https://angel.co/influitive,https://angel.co/wifislam,https://angel.co/tribehr,https://angel.co/worldmate,https://angel.co/shoplocket,https://angel.co/extremestartups,https://angel.co/appia,https://angel.co/payfone,https://angel.co/kira-talent-1,https://angel.co/growlab,https://angel.co/viewdle,https://angel.co/digby,https://angel.co/clearfit,https://angel.co/mdialog,https://angel.co/fuse-powered-2","https://angel.co/kevin-talbot,https://angel.co/john-albright","","https://angel.co/kevin-talbot,https://angel.co/johnovc,https://angel.co/alex-baker,https://angel.co/john-albright","https://angel.co/kevin-talbot,https://angel.co/john-albright"
"Rembrandt Venture Partners","","Ooyala,Appcelerator,Coveroo,Rapleaf,Buysight,Convio,CloudOn,Xactly,Netuitive,Allegiance,Socializr,Insideview,Aptana,Skybox Security,LGC Wireless,Electric Cloud,Infineta Systems,Home-Account,MessageCast,MetaLINCS,Rhythm NewMedia","Richard Ling","","Scott Irwin","Richard Ling",No,"https://angel.co/ooyala,https://angel.co/appcelerator,https://angel.co/coveroo,https://angel.co/rapleaf,https://angel.co/buysight,https://angel.co/convio,https://angel.co/cloudon,https://angel.co/xactly,https://angel.co/netuitive,https://angel.co/allegiance,https://angel.co/socializr,https://angel.co/insideview,https://angel.co/aptana,https://angel.co/skybox-security,https://angel.co/lgc-wireless,https://angel.co/electric-cloud,https://angel.co/infineta-systems,https://angel.co/home-account,https://angel.co/messagecast,https://angel.co/metalincs,https://angel.co/rhythm-newmedia","https://angel.co/richard-ling","","https://angel.co/scottirwin","https://angel.co/richard-ling"
"Resolute.vc","","OKpanda,Signifyd,DJZ,Influitive,TidePool,Greenhouse,card.com,BlockBeacon","","","Mike Hirshland,Matt Meeker","",Yes,"https://angel.co/okpanda,https://angel.co/signifyd,https://angel.co/djz,https://angel.co/influitive,https://angel.co/tidepool,https://angel.co/greenhouse,https://angel.co/card-com,https://angel.co/blockbeacon","","","https://angel.co/vcmike,https://angel.co/matt-meeker",""
"Rincon Venture Partners","","Steelhouse,Gradient X,Wittlebee,Keen IO,Burstly,SHIFT,DataPop,Campus Explorer,Ranker,The Resumator,Rentlytics,Prompt.ly,Tradesy,RingRevenue,ElephantDrive,Brickfish,Cocodot,Packet Island,CADFORCE,Digital Performance","","","Jim Andelman,John Greathouse","",No,"https://angel.co/steelhouse,https://angel.co/gradient-x,https://angel.co/wittlebee,https://angel.co/keen-io,https://angel.co/burstly,https://angel.co/shift-3,https://angel.co/datapop,https://angel.co/campus-explorer,https://angel.co/ranker,https://angel.co/the-resumator,https://angel.co/rentlytics,https://angel.co/prompt-ly,https://angel.co/tradesy,https://angel.co/ringrevenue,https://angel.co/elephantdrive,https://angel.co/brickfish,https://angel.co/cocodot,https://angel.co/packet-island,https://angel.co/cadforce,https://angel.co/digital-performance","","","https://angel.co/jimandelman,https://angel.co/johngreathouse",""
"Rocket Internet","","Wimdu","","","Steven Kim,Sebastian,Ariez Dustoor,Raphael Cohen \u62c9\u6590\u5c14,Jan Schwenzien,Ray Alimurung,Duncan Coleman,Steven Renwick,Anne-Aymone Ferreira,Henrik Zillmer,Leonid Shangin,Izanami Mart\u00ednez ,Manuel Gruber,Florian Swoboda,Joseph Ajao,Vyacheslav Polonski,Hristo Odiseev,Rob Morgan,Diogo Alves,Philipp Petrescu,Nikhil Sama,Ignacio Molins,Ron Lev,Tiffany J Hopkins,Frederik Roever,Subrat Kar,Anikendra Das Choudhury,Matteo Sutto,Jimmy Cassells,Christian Sutardi,Simone Lini,Nina Zavrieva,Jiun,Cynthia Chaerunnisa,Benjamin Libor,Christian R\u00fchringer,Guido von Westerholt,Kenneth Svenningsen,Sebastian Sieber,Tobias Fezer,Shifatur Rahman,Michael Ngo Dee,Shashank Gupta,Kai von Grambusch,Arthur Brejon de Lavergn\u00e9e,Gianluca Caccamo,Michele Fontolan,\u00d6zg\u00fcr Taylan G\u00fcltekin,Tara Manasse,Kivanc Okutur,Kulthirath Pakawachkrilers,Kevin Tucker,Furkan Anarat,Hakan Ko\u00e7,Ziyad Parekh,Tari Opuene,Rustin Crandall,Monica Calicchio,Etta Lin,Gregoire Roty,Sriram Chandrasekaran,Timo Settels,Pedro Jorge,Selen Atac,Renann Fortes,Ivo Vorrath,Leonard Stellbrink,Govind Jha,Jack Yang,Pierre TUCOULAT,Ashish Aggarwal,Christian Eggert,Vedat Engin,Alexander Small","",Yes,"https://angel.co/wimdu","","","https://angel.co/steven-kim-2,https://angel.co/sebastian-diemer,https://angel.co/ariez-dustoor,https://angel.co/raphael-cohen,https://angel.co/jeanmcfly,https://angel.co/ralimurung,https://angel.co/duncan-coleman,https://angel.co/steven-renwick,https://angel.co/anne-aymone-ferreira,https://angel.co/henrik-zillmer,https://angel.co/lshangin,https://angel.co/izanami-mart-nez,https://angel.co/manuelgruber,https://angel.co/florian-swoboda,https://angel.co/joseph-ajao,https://angel.co/vyacheslav-polonski,https://angel.co/hristo-odiseev,https://angel.co/_rjm_,https://angel.co/diogo-alves,https://angel.co/philipp-petrescu,https://angel.co/nikhilsama,https://angel.co/ignacio-molins,https://angel.co/ron-lev,https://angel.co/tiffany-j-hopkins,https://angel.co/frederik-roever,https://angel.co/subrat-kar,https://angel.co/anikendra-1,https://angel.co/matsutton,https://angel.co/jimmy-cassells,https://angel.co/csutardi,https://angel.co/simone-lini,https://angel.co/nina-zavrieva,https://angel.co/jiun,https://angel.co/cynthiach,https://angel.co/benjamin_libor,https://angel.co/cr,https://angel.co/guido-von-westerholt,https://angel.co/svenningsen,https://angel.co/sebastiansieber,https://angel.co/tobias-fezer,https://angel.co/shifatur-rahman,https://angel.co/michael-ngo-dee,https://angel.co/guptshashank,https://angel.co/kai-von-grambusch,https://angel.co/ab2l,https://angel.co/gianluca-caccamo,https://angel.co/michele-fontolan,https://angel.co/ozgurtaylangultekin,https://angel.co/tara-manasse,https://angel.co/kivanc-okutur,https://angel.co/kulthirath-pakawachkrilers,https://angel.co/tucj7,https://angel.co/furkan-anarat,https://angel.co/hakan-ko,https://angel.co/ziyad-parekh,https://angel.co/tari-opuene,https://angel.co/rustin-crandall,https://angel.co/calicchio-monica87,https://angel.co/etta-lin,https://angel.co/gregoire-roty,https://angel.co/sriram-chandrasekaran,https://angel.co/timo-settels,https://angel.co/pedroaraujojorge,https://angel.co/selen-atac,https://angel.co/renann-fortes,https://angel.co/ivo-vorrath,https://angel.co/leonard-stellbrink,https://angel.co/govind-jha,https://angel.co/jackyujieyang,https://angel.co/pierre-tucoulat,https://angel.co/ashish-aggarwal-1,https://angel.co/christianeggert,https://angel.co/vedatengin,https://angel.co/alexander-small",""
"Rothenberg Ventures","","Matterport ,AngelList,SpaceX,Codeship,Propeller,Boosted,Hullabalu,Partnered,Karma,Buttercoin,Verbling,Locality,Booshaka,Fashion Project,Freight Farms,Patreon,Outbox (stealth),Pixlee,Apptopia,Careport Health,AuditFile,Revel Systems,Sols,Tuition.io,1-Page ,","Mike Rothenberg","Lee Linden,Rick Marini,Amos Elliston,Andrew Ferenci,Tim Draper,Wayne Chang,Jeff Seibert,Mark Mullen,Ryan Allis,Vladimir Tenev,John Kobs,Ran Makavy,Fran Hauser,Courtney Reum,James Yoder,Victoria Song,Brandon Farwell,Bryan Goldberg,Susan Feldman,Monique Giggy,Alexa Binns,Burke Robinson","Tommy Leep,Brian Truong,Nellie Sisti,Joe Wadlington,Cara Brennan Allamano, MS, SPHR,Brandon Farwell,Dylan Flinn,James Ho,Thomas McMenemy,Tom Leep,Valerie Aizpuru,Justin Allamano, Esq.","Mike Rothenberg",Yes,"https://angel.co/matterport-2,https://angel.co/angellist,https://angel.co/spacex,https://angel.co/codeship,https://angel.co/propeller-2,https://angel.co/boosted,https://angel.co/hullabalu,https://angel.co/partnered,https://angel.co/karma,https://angel.co/buttercoin,https://angel.co/verbling,https://angel.co/locality-1,https://angel.co/booshaka,https://angel.co/fashion-project,https://angel.co/freight-farms,https://angel.co/patreon,https://angel.co/outbox-stealth,https://angel.co/pixlee,https://angel.co/apptopia,https://angel.co/careport-health,https://angel.co/auditfile,https://angel.co/revel-systems,https://angel.co/sols,https://angel.co/tuition-io,https://angel.co/1-page,","https://angel.co/mike-rothenberg","https://angel.co/lclinden,https://angel.co/rmarini,https://angel.co/amos-elliston,https://angel.co/aferenci,https://angel.co/timdraper,https://angel.co/wayne,https://angel.co/jeffseibert,https://angel.co/mark-mullen,https://angel.co/ryanallis,https://angel.co/vladimir-tenev,https://angel.co/johnkobs,https://angel.co/makavy,https://angel.co/fran-hauser,https://angel.co/courtney-reum,https://angel.co/james-yoder,https://angel.co/victoria-song,https://angel.co/brandon-farwell,https://angel.co/bryan-goldberg-1,https://angel.co/susan-feldman,https://angel.co/monique-giggy,https://angel.co/alexa-binns,https://angel.co/burke-robinson","https://angel.co/leepnet,https://angel.co/btruong,https://angel.co/nellie-sisti,https://angel.co/joe-wadlington,https://angel.co/cara-brennan-allamano-ms-sphr,https://angel.co/brandon-farwell,https://angel.co/flinndustries,https://angel.co/james-ho,https://angel.co/thomas-mcmenemy,https://angel.co/tom-leep,https://angel.co/valerie-aizpuru,https://angel.co/justin-allamano","https://angel.co/mike-rothenberg"
